"ADM3_PCODE","est"
"MG51506312",0.384529926769143
"MG23210272",0.432240793292446
"MG23210353",0.401906811918587
"MG53515111a",0.411048634615555
"MG51520071",0.284704487447017
"MG23212051",0.453349746684149
"MG23212150",0.432338704403314
"MG23212172",0.457432955234554
"MG11101002",0.376860096545025
"MG11101003",0.387115093178541
"MG11101004",0.387115093178541
"MG11102350",0.545551098699431
"MG11103050",0.464301901747645
"MG11103111",0.492567799510058
"MG11103112",0.48442962684567
"MG11103230",0.528826185892128
"MG11103290",0.502491465220737
"MG11103330",0.519428496094078
"MG11106070",0.53401298987882
"MG11106290",0.504585682640529
"MG11106372",0.493484926188206
"MG11117012",0.483265784129097
"MG11117050",0.414417708778624
"MG11117090",0.431212521256944
"MG11117130",0.414417708778624
"MG11117150",0.579260917853232
"MG11117170",0.599375246171151
"MG11117190",0.579260917853232
"MG11117210",0.599375246171151
"MG11117250",0.483265784129097
"MG11117290",0.431212521256944
"MG11117330",0.483265784129097
"MG11117370",0.522533654166414
"MG21220630",0.453626774169969
"MG22203110",0.562839531437012
"MG22204110",0.561484012128056
"MG22223172",0.505048782972454
"MG31307092",0.386953983476355
"MG32305238",0.415228453928267
"MG33313033",0.43582387385039
"MG42413010",0.25183637678069
"MG72711210",0.329930769811054
"MG72712170",0.251134676810144
"MG25214111a",0.518212209090586
"MG11102079a",0.440055496056015
