"model","highland_coef","highland_sd","ci_low","ci_high","pct_of_gap_explained","waic","dic","block_label"
"M0_paradox",-0.208741178396276,0.0777451092948431,-0.361118792588299,-0.0563635642042535,0,983.548037920214,971.698028093612,NA
"M1_A_cold_stress",-0.122737340211494,0.0995807387209119,-0.317912001658374,0.0724373212353866,41.2011845700668,978.08063321483,964.545534446898,"H1 Altitude / cold stress"
"M1_B_diet",-0.236874120860203,0.0765562938038999,-0.386921699505714,-0.0868265422146927,-13.4774282104125,987.216457229318,974.279479312426,"H2 Rice monoculture / diet quality"
"M1_C_infection",-0.211876148635501,0.0773499449617898,-0.363479254966765,-0.0602730423042377,-1.50184561729055,987.353636557394,975.526888541925,"H3 Infection load / enteropathy"
"M1_D_care",-0.219000043962446,0.0748831784641761,-0.365768376800117,-0.0722317111247755,-4.91463430693797,961.391108302714,948.134426832721,"H4 Care practices, maternal condition, access"
"M2_cum_A_cold_stress",-0.122726721312038,0.0995805574234381,-0.3179010274224,0.0724475847983231,41.2062716829869,978.087299815527,964.555845320048,"H1 Altitude / cold stress"
"M2_cum_B_diet",-0.085580741381154,0.10011185112662,-0.281796364014965,0.110634881252656,59.0015050989667,978.271806269424,964.197651108438,"H2 Rice monoculture / diet quality"
"M2_cum_C_infection",-0.099552027484634,0.100786068937097,-0.297089092744715,0.0979850377754465,52.3083905871013,979.820283910825,965.869778569687,"H3 Infection load / enteropathy"
"M2_cum_D_care",-0.0987740860727504,0.0996887374008891,-0.294160421042764,0.0966122488972632,52.6810728809642,953.761620445772,940.098782339368,"H4 Care practices, maternal condition, access"
