"model","family","waic","dic","log_cpo","failed_cpo","pearson_dispersion","rho","pit_ks_stat","pit_ks_p","cover90","n_hyper"
"binomial_nugget","binomial",2316.84757682938,2310.24196262739,-1170.06428543545,0,0.743671966099639,NA,0.0535244138213042,0.0490948974054096,0.973724884080371,3
"binomial","binomial",2323.77820463733,2312.73518348259,-1171.19759122463,0,0.811817548802357,NA,0.0675564199563421,0.00544803404592711,0.986089644513138,2
"betabinomial_nugget","betabinomial",2336.92562725114,2335.88243317758,-1169.32574736715,0,0.845420041971384,0.0279490923113871,0.0356870704025928,0.382132413424139,0.975270479134467,4
"betabinomial","betabinomial",2337.89262828774,2336.9202147473,-1169.46710661834,0,0.877422568660162,0.0287346330874572,0.0371800268725082,0.332781621475814,0.973724884080371,3
