"model","n","rmse","mae","bias","correlation","log_score"
"spatial_only",647,0.185077893810408,0.148391539499221,0.000207449494124424,0.35015316367551,-1.85972154820835
"full",647,0.192608968439723,0.155014784039033,-0.0131954287365824,0.286706976081032,-1.92929306449319
