"mean","sd","0.025quant","0.5quant","0.975quant","mode","kld","variable","block","significant"
-1.53430345268589,0.056289880771747,-1.64462959169257,-1.53430345268589,-1.42397731367921,-1.53430345268589,0,"intercept","intercept",TRUE
0.167939885115867,0.0879662722731771,-0.0044708403938048,0.167939885115867,0.340350610625538,0.167939885115867,0,"temp_min_cold","H1 Altitude / cold stress",FALSE
0.123496052929927,0.0593987329231064,0.00707667567332536,0.123496052929927,0.239915430186529,0.123496052929927,0,"precip_seasonality","H2 Rice monoculture / diet quality",TRUE
-0.0987740860727504,0.0996887374008891,-0.294160421042764,-0.0987740860727504,0.0966122488972632,-0.0987740860727504,0,"highland","paradox term",FALSE
0.0924533492889051,0.0286722785074349,0.0362567160596308,0.0924533492889051,0.148649982518179,0.0924533492889051,0,"mother_bmi","H4 Care practices, maternal condition, access",TRUE
0.0906433021750454,0.0545643118695012,-0.0163007839303884,0.0906433021750454,0.197587388280479,0.0906433021750454,0,"wealth_q","H4 Care practices, maternal condition, access",FALSE
0.0670424812184644,0.0320558528009094,0.00421416423496461,0.0670424812184644,0.129870798201964,0.0670424812184644,0,"open_defecation","H3 Infection load / enteropathy",TRUE
-0.0645052018606349,0.0308954013422633,-0.125059075779381,-0.0645052018606349,-0.00395132794188846,-0.0645052018606349,0,"improved_water","H3 Infection load / enteropathy",TRUE
0.0637645447730261,0.0418814195400121,-0.0183215291468097,0.0637645447730261,0.145850618692862,0.0637645447730261,0,"travel_time","H4 Care practices, maternal condition, access",FALSE
0.0584856601009497,0.0702242626923783,-0.0791513656169916,0.0584856601009497,0.196122685818891,0.0584856601009497,0,"temp_seasonality","H1 Altitude / cold stress",FALSE
-0.0579204658238465,0.0414877166527517,-0.139234896264043,-0.0579204658238465,0.0233939646163495,-0.0579204658238465,0,"mdd","H2 Rice monoculture / diet quality",FALSE
-0.0547497621887399,0.0220606395696947,-0.0979878212212607,-0.0547497621887399,-0.0115117031562191,-0.0547497621887399,0,"mean_age_m","control",TRUE
-0.0430357662571407,0.0301667579525158,-0.102161525374409,-0.0430357662571407,0.0160899928601275,-0.0430357662571407,0,"pop_count","H3 Infection load / enteropathy",FALSE
0.0397166072541735,0.0420774912526776,-0.0427537601608738,0.0397166072541735,0.122186974669221,0.0397166072541735,0,"diet_diversity","H2 Rice monoculture / diet quality",FALSE
0.0319214652630252,0.040845411403072,-0.0481340700207176,0.0319214652630252,0.111977000546768,0.0319214652630252,0,"mother_edu","H4 Care practices, maternal condition, access",FALSE
0.0310013585511435,0.0243422902878862,-0.0167086537143327,0.0310013585511435,0.0787113708166196,0.0310013585511435,0,"basic_sanitation","H3 Infection load / enteropathy",FALSE
0.0302131030503318,0.0241212294746275,-0.0170636379827641,0.0302131030503318,0.0774898440834277,0.0302131030503318,0,"frac_water_perm","H3 Infection load / enteropathy",FALSE
-0.0302019552101295,0.0217509371326735,-0.0728330086201645,-0.0302019552101295,0.0124290981999055,-0.0302019552101295,0,"pct_male","control",FALSE
-0.0279133817518877,0.0256092638743818,-0.0781066166162588,-0.0279133817518877,0.0222798531124833,-0.0279133817518877,0,"birth_order","H4 Care practices, maternal condition, access",FALSE
-0.0201304277491474,0.0214215134529071,-0.0621158226111855,-0.0201304277491474,0.0218549671128908,-0.0201304277491474,0,"fever_2w","H3 Infection load / enteropathy",FALSE
-0.0196459251208432,0.0306862593693699,-0.079789888305063,-0.0196459251208432,0.0404980380633767,-0.0196459251208432,0,"ruggedness","H1 Altitude / cold stress",FALSE
0.0164677130640941,0.0312067610825059,-0.0446964147317635,0.0164677130640941,0.0776318408599518,0.0164677130640941,0,"urban","control",FALSE
0.0136912252619473,0.0273971051773482,-0.040006114166311,0.0136912252619473,0.0673885646902055,0.0136912252619473,0,"mother_age1b","H4 Care practices, maternal condition, access",FALSE
0.0112769419332731,0.0480454796932691,-0.0828904678854849,0.0112769419332731,0.105444351752031,0.0112769419332731,0,"frac_built","H3 Infection load / enteropathy",FALSE
0.0107835034978047,0.0265951730603313,-0.0413420778630545,0.0107835034978047,0.0629090848586639,0.0107835034978047,0,"travel_time_healthcare","H4 Care practices, maternal condition, access",FALSE
0.00602937740588241,0.0320941644052223,-0.0568740289422606,0.00602937740588241,0.0689327837540254,0.00602937740588241,0,"cattle_density","H2 Rice monoculture / diet quality",FALSE
-0.00554989889074904,0.0587278997484333,-0.120654467285357,-0.00554989889074904,0.109554669503859,-0.00554989889074904,0,"precip_annual","H2 Rice monoculture / diet quality",FALSE
0.00463711746836106,0.0348145804633773,-0.0635982063767302,0.00463711746836106,0.0728724413134523,0.00463711746836106,0,"frac_crop","H2 Rice monoculture / diet quality",FALSE
