"","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"Precision for region.struct",5.45481928610775,1.3710589167742,3.29859547147817,5.2746174369599,8.66104165978716,4.91538286777878
"Phi for region.struct",0.304671602739385,0.217638065759556,0.0207723855601762,0.257308004426769,0.792472945928219,0.0569872052023409
