"ADM3_PCODE","ADM3_EN","pop_u5","n_children","n_clusters"
"MG52514050","Marovato",4250.86572265625,0,0
"MG52514071","Antaritarika",4475.2275390625,10,1
"MG52514072","Imongy",4738.2265625,0,0
"MG52514011a","Ankilivalo",2747.81005859375,0,0
"MG52514011b","Behazomanga",1522.27648925781,0,0
"MG25214010","Vangaindrano",1923.81921386719,12,2
"MG25214031","Ampasimalemy",2575.42333984375,0,0
"MG25214032","Tsianofana",2853.84643554688,0,0
"MG25214033","Bekaraoky",1562.99340820312,0,0
"MG25214050","Tsiately",2213.95263671875,0,0
"MG25214070","Soamanova",844.55419921875,0,0
"MG25214091","Lopary",3216.24487304688,14,1
"MG25214092","Bema",1119.73974609375,0,0
"MG25214111","Vohitrambo",1767.98645019531,0,0
"MG25214112","Anilobe",1772.16760253906,9,1
"MG25214131","Lohafary",5331.27734375,0,0
"MG25214132","Ampataka",5447.6474609375,0,0
"MG25214151","Matanga",4999.47509765625,11,1
"MG25214152","Masianaka",5523.99755859375,0,0
"MG25214171","Vohipaho",4743.748046875,0,0
"MG25214172","Marokibo",3315.49609375,0,0
"MG25214190","Ranomena",10551.0517578125,15,1
"MG25214211","Ambongo",2770.2578125,0,0
"MG25214212","Ambatolava",2937.25122070312,0,0
"MG25214230","Iara",3557.90966796875,0,0
"MG25214251","Bevata",3129.2158203125,0,0
"MG25214252","Karimbary",809.063049316406,0,0
"MG25214270a","Mahabe",1042.26318359375,0,0
"MG25214290","Fenoambany",3222.44482421875,16,1
"MG25214311","Isahara",3105.03881835938,0,0
"MG25214312","Vohimalaza",3535.57568359375,0,0
"MG25214313","Vatanato",2281.18798828125,11,1
"MG25214331","Amparihy Est",1445.61962890625,0,0
"MG25214332","Sandravinany",1578.53942871094,0,0
"MG23212010","Vohipeno",1610.97912597656,0,0
"MG23212031","Vohitrindry",6533.72265625,0,0
"MG23212032","Vohindava",4057.31420898438,0,0
"MG23212051","Ivato",166.948013305664,0,0
"MG23212052","Savana",455.062133789062,0,0
"MG23212053","Anoloka",689.321838378906,13,1
