"ADM3_PCODE","ADM3_EN","pop_u5","n_children","n_clusters"
"MG21205071","Ambohimandroso",1783.43884277344,0,0
"MG21205072","Andrainjato",1241.51953125,10,1
"MG21205090","Anjoma",3165.80224609375,0,0
"MG21205110","Kirano",1463.18322753906,5,1
"MG21205130a","Namoly",1807.09631347656,0,0
"MG21205150","Besoa",1212.51831054688,5,1
"MG21205170","Mahazony",1028.91528320312,0,0
"MG21205190","Ambinanindovoka",947.439025878906,0,0
"MG21205211","Ankaramena",850.322448730469,0,0
"MG21205212","Ambinaniroa",3251.42309570312,0,0
"MG21205230","Ambohimahamasina",2451.291015625,10,1
"MG21205250","Miarinarivo",1268.49987792969,0,0
"MG21205270","Vohitsaoka",3992.14135742188,7,1
"MG21208050","Ankerana",772.553466796875,0,0
"MG21208071","Manandroy",1909.23583984375,0,0
"MG21208072","Ambalakindresy",4791.40283203125,0,0
"MG21208090","Ankafina Tsarafidy",1662.57775878906,0,0
"MG21208110","Sahave",1630.53820800781,0,0
"MG21208130","Morafeno",1319.64538574219,13,1
"MG21208150","Ikalalao",1115.65930175781,0,0
"MG21208170","Vohiposa",1632.71020507812,12,1
"MG21208190","Ambatosoa",1829.2607421875,0,0
"MG21208211","Isaka",1365.435546875,0,0
"MG21208212","Vohitrarivo",2579.30517578125,0,0
"MG21208230","Ambohinamboarina",1566.63793945312,12,1
"MG21208251","Sahatona",1319.86950683594,0,0
"MG21208252","Camp Robin",1048.6083984375,0,0
"MG21208270","Befeta",2050.44165039062,0,0
"MG21208290","Fiadanana",2703.66455078125,0,0
"MG21219010","Ikalamavony",4976.52197265625,8,1
"MG21219030","Mangidy",5673.72021484375,8,1
"MG21219050","Solila",4130.55859375,0,0
"MG21219070","Ambatomainty",1291.95288085938,0,0
"MG21219090","Fitampito",3482.65063476562,0,0
"MG21219110","Tanamarina Sakay",3216.08422851562,0,0
"MG21219130","Tsitondroina",2207.86376953125,0,0
"MG21219150","Tanamarina Bekisopa",1885.18029785156,0,0
"MG21220011","Andrainjato Centre",3370.68359375,0,0
"MG21220012","Andrainjato Est",787.003295898438,0,0
"MG21220030","Ambalakely",1243.07238769531,11,1
"MG21220070","Ivoamba",550.519714355469,0,0
"MG21220090","Taindambo",437.050231933594,13,1
"MG21220111","Mahatsinjony",852.8974609375,0,0
"MG21220112","Sahambavy",1812.98706054688,0,0
"MG21220210","Ambalamahasoa",702.445678710938,0,0
"MG21220250","Alakamisy Ambohimaha",3390.44116210938,0,0
"MG21220330","Androy",1974.25866699219,13,1
"MG21220350","Alatsinainy Ialamarina",2072.06762695312,0,0
"MG21220430","Fandrandava",652.122741699219,0,0
"MG21220630","Ialananindro",222.40168762207,0,0
"MG21224010","Mahasoabe",3387.00512695312,0,0
"MG21224030","Vinanitelo",3574.4697265625,0,0
"MG21224050","Alakamisy Itenina",2362.99658203125,19,2
"MG21224070","Talata Ampano",13883.9375,3,1
"MG21224090","Ihazoara",594.377075195312,0,0
"MG21224110","Ankaromalaza Mifanasoa",727.629333496094,0,0
"MG21224130","Vohimarina",4466.45654296875,0,0
"MG21224150","Maneva",2047.58508300781,0,0
"MG21224170","Vohitrafeno",1621.45825195312,0,0
"MG21224190","Andranovorivato",7437.51513671875,0,0
"MG21224210","Vohibato Ouest",2889.76098632812,0,0
"MG21224230","Andranomiditra",3150.68310546875,0,0
"MG21224250","Soaindrana",9639.3447265625,9,1
"MG21224270","Mahaditra",2745.6630859375,0,0
"MG21225010","Isorana",888.685241699219,0,0
"MG21225030","Anjoma Itsara",1244.00280761719,0,0
"MG21225050","Andoharanomaitso",2387.3662109375,14,1
"MG21225070","Ambondrona",1584.72009277344,11,1
"MG21225090","Ambalamidera II",571.286499023438,0,0
"MG21225110","Ankarinarivo Manirisoa",1481.03967285156,0,0
"MG21225130","Soatanana",468.131530761719,0,0
"MG21225150","Nasandratrony",669.317077636719,0,0
"MG21225170","Mahazoarivo",1558.470703125,0,0
"MG21225190","Fanjakana",2587.73022460938,0,0
"MG21225210","Iavonomby Vohibola",891.971313476562,0,0
"MG22202010","Ambatofinandrahana",8174.17626953125,7,1
"MG22202030","Itremo",3453.55541992188,11,1
"MG22202050","Fenoarivo",5962.5166015625,14,1
"MG22202070","Soavina",4888.7587890625,9,1
"MG22202090","Ambondromisotra",1521.10656738281,9,1
"MG22202110","Ambatomifanongoa",1395.29699707031,0,0
"MG22202130","Amborompotsy",1296.83959960938,9,1
"MG22202150","Mandrosonoro",4027.28442382812,0,0
"MG22202170","Mangataboahangy",2255.46826171875,7,1
"MG22203010","Ambositra I",318.556823730469,13,2
"MG22203030","Ambositra II",955.156677246094,10,1
"MG22203050","Ankazoambo",212.604598999023,6,1
"MG22203070","Ivony Miaramiasa",3086.70776367188,0,0
"MG22203090","Andina",2362.0712890625,0,0
"MG22203110","Imerina Imady",89.9284057617188,0,0
"MG22203130","Ivato",3025.123046875,0,0
"MG22203150","Tsarasaotra",5303.19873046875,0,0
"MG22203170","Marosoa",212.652786254883,0,0
"MG22203190","Fahizay",129.863021850586,0,0
"MG22203210","Alakamisy Ambohijato",234.966812133789,6,1
"MG22203230","Kianjandrakefina",1022.21734619141,0,0
"MG22203250","Ambalamanakana",1068.36804199219,0,0
"MG22203290","Ilaka Centre",2061.53149414062,0,0
"MG22203310","Ihadilanana",1621.30603027344,20,2
"MG22203390","Ambatofitorahana",283.831390380859,10,1
"MG22203410","Antoetra",2206.841796875,7,1
"MG22203430","Mahazina Ambohipierenana",673.721435546875,0,0
"MG22203450","Sahatsiho Ambohimanjaka",955.01025390625,7,1
"MG22203491","Ambohimitombo I",2025.32458496094,10,1
"MG22203492","Ambohimitombo II",681.868835449219,16,1
"MG22203551","Ambinanindrano",2252.98168945312,0,0
"MG22203552","Vohidahy",3095.87670898438,15,1
"MG22204010","Fandriana",1033.38940429688,6,1
"MG22204030","Milamaina",25.9369564056396,0,0
"MG22204050","Sahamadio Fisakana",872.780700683594,0,0
"MG22204070","Fiadanana",2832.20703125,13,2
"MG22204090","Tsarazaza",6228.27490234375,0,0
"MG22204110","Tatamalaza",152.627853393555,0,0
"MG22204130","Ankarinoro",1179.81262207031,0,0
"MG22204150","Sandrandahy",5027.42333984375,10,1
"MG22204170a","Isandrandahy Ambony",920.945678710938,0,0
"MG22204191","Miarinavaratra",4149.57763671875,9,1
"MG22204192","Betsimisotra",496.729461669922,10,1
"MG22204210","Alakamisy Ambohimahazo",571.390686035156,0,0
"MG22204230","Imito",1368.10241699219,0,0
"MG22223010","Ambovombe Centre",1892.88757324219,7,1
"MG22223030","Ambohimahazo",546.7705078125,0,0
"MG22223050","Anjoma Nandihizana",901.576538085938,0,0
"MG22223070","Ambohimilanja",947.870544433594,0,0
"MG22223150","Talata Vohimena",4415.87548828125,0,0
"MG22223171","Ambatomarina",1203.75561523438,0,0
"MG22223172","Andakatany",314.042785644531,0,0
"MG23207010","Nosy Varika",1999.64562988281,8,1
"MG23207031","Ambahy",1349.72595214844,0,0
"MG23207032","Andara",1961.84033203125,0,0
"MG23207051","Fiadanana",1991.89770507812,0,0
"MG23207052","Ambodirian'i Sahafary",2142.38525390625,5,1
"MG23207070","Sahavato",6047.81982421875,0,0
"MG23207090","Vohilava",2961.73388671875,0,0
"MG23207111","Vohitrandriana",7667.52783203125,8,1
"MG23207112","Vohidroa",2481.248046875,0,0
"MG23207113","Ambakobe",876.914306640625,0,0
"MG23207130","Soavina",4882.7919921875,0,0
"MG23207151","Ambodilafa",2178.24633789062,0,0
"MG23207152","Androrangavola",2495.17626953125,14,1
"MG23207171","Ampasinambo",2322.22045898438,9,1
"MG23207172","Antanambao",1278.04418945312,0,0
"MG23207173","Angodongodona",929.883666992188,0,0
"MG23207191","Befody",4255.13916015625,0,0
"MG23207192","Ambodiara",2212.31323242188,0,0
"MG23209010","Mananjary",1877.70397949219,3,1
"MG23209031a","Marofody",1228.04956054688,0,0
"MG23209032","Ankatafana",4025.72680664062,0,0
"MG23209050","Mahatsara Sud",942.521911621094,0,0
"MG23209070","Tsiatosika",2734.49267578125,5,1
"MG23209090","Mahatsara Iefaka",564.397705078125,0,0
"MG23209110","Marokarima",1594.62573242188,0,0
"MG23209130","Morafeno",1813.11682128906,0,0
"MG23209150","Antsenavolo",1476.59216308594,0,0
"MG23209170","Marosangy",1406.77502441406,0,0
"MG23209190","Ambohimiarina II",357.692749023438,0,0
"MG23209210","Andranambolava",1116.29699707031,0,0
"MG23209230","Vohilava",6328.7646484375,0,0
"MG23209251","Mahela",2351.7333984375,8,1
"MG23209252","Ambohitsara Est",1812.90087890625,0,0
"MG23209270","Mahavoky Nord",1186.85827636719,0,0
"MG23209290","Andonabe",1446.01098632812,0,0
"MG23209310","Ambohinihaonana",4203.62158203125,9,1
"MG23209331","Marofototra",3522.017578125,0,0
"MG23209332","Andranomavo",1330.22253417969,0,0
"MG23209350","Vatohandrina",978.662170410156,0,0
"MG23209370","Ambalahosy Nord",263.834075927734,0,0
"MG23209391","Ambodinonoka",6190.3916015625,14,1
"MG23209392","Antaretra",3569.93334960938,0,0
"MG23209410","Kianjavato",1405.341796875,10,1
"MG23209430","Sandrohy",1454.06396484375,0,0
"MG23209450","Anosimparihy",1450.64685058594,0,0
"MG23209470","Manakana Nord",886.066833496094,0,0
"MG23209490","Namorona",4882.63916015625,0,0
"MG23211011","Ikongo",14122.109375,0,0
"MG23211012","Ambolomadinika",4787.07958984375,17,2
"MG23211031","Ambatofotsy",5564.91552734375,0,0
"MG23211032","Belemoka",3009.27880859375,0,0
"MG23211033","Maromiandra",4850.07421875,0,0
"MG23211051","Manampatrana",1703.89624023438,4,1
"MG23211052","Ambinanitromby",3620.98681640625,0,0
"MG23211071","Ifanirea",6036.11572265625,0,0
"MG23211072","Tanakambana",3275.30053710938,0,0
"MG23211073","Sahalanona",3786.54150390625,0,0
"MG23211091","Tolongoina",4791.89794921875,0,0
"MG23211092a","Andefampony",986.450744628906,0,0
"MG24216010","Ihosy",1169.56689453125,20,3
"MG24216031","Ankily",1324.25061035156,0,0
"MG24216032","Ambia",10504.251953125,5,1
"MG24216033","Tolohomiady",905.529296875,0,0
"MG24216050","Irina",1175.96411132812,0,0
"MG24216070","Sahambano",3948.83569335938,7,1
"MG24216090","Analaliry",2968.51416015625,16,1
"MG24216110","Mahasoa",7811.36328125,24,2
"MG24216131","Ambatolahy",4383.92333984375,11,1
"MG24216132","Soamatasy",2098.39501953125,22,1
"MG24216151","Zazafotsy",3763.4677734375,17,1
"MG24216152","Antsoha",3408.42431640625,0,0
"MG24216170","Sakalalina",4320.5361328125,7,1
"MG24216191","Satrokala",3829.73681640625,6,1
"MG24216192","Andiolava",2802.31713867188,10,1
"MG24216210","Analavoka",3325.36645507812,10,1
"MG24216231","Ranohira",4588.62646484375,10,1
"MG24216232","Ilakaka",3509.77099609375,21,2
"MG24216250","Menamaty Iloto",1186.04040527344,0,0
"MG24218010","Ivohibe",2917.32299804688,7,1
"MG24218030","Antambohobe",2873.35522460938,5,1
"MG24218050","Maropaika",5295.79541015625,14,1
"MG24218070","Ivongo",4196.98193359375,0,0
"MG24221010","Iakora",4347.2978515625,9,1
"MG24221030","Ranotsara Nord",3515.70068359375,13,1
"MG24221050","Begogo",4082.8515625,0,0
"MG25215011","Midongy (Nosifeno)",2714.537109375,0,0
"MG25215012","Ankazovelo",1602.10754394531,0,0
"MG25215031","Andranolalina",2457.07666015625,0,0
"MG25215051","Ivondro",3242.173828125,16,1
"MG25215052","Soakibany",2617.82885742188,0,0
"MG25217011","Vondrozo",1707.21472167969,9,1
"MG25217012","Manambidala",3603.64916992188,0,0
"MG25217013","Anandravy",2575.45288085938,0,0
"MG25217030","Mahatsinjo",1242.33386230469,16,1
"MG25217051","Mahazoarivo",1592.3876953125,16,1
"MG25217052","Iamonta",769.893920898438,0,0
"MG25217071","Vohimary",4014.83959960938,0,0
"MG25217072","Antokonala",1590.58251953125,0,0
"MG25217090","Ambohimana",1219.84729003906,0,0
"MG25217111","Karianga",1016.22088623047,6,1
"MG25217112","Manato",1759.90246582031,0,0
"MG25217130","Ivato",2634.63330078125,0,0
"MG25217150","Mahavelo",1057.7734375,0,0
"MG25217170","Andakana",1422.41442871094,0,0
"MG25217191","Moroteza",1943.68249511719,12,1
"MG25217192","Vohiboreka",686.302368164062,0,0
"MG25222011","Befotaka Sud",3273.78125,0,0
"MG25222051","Ranotsara Sud",1980.87939453125,0,0
"MG25222052","Beharena",2450.68823242188,0,0
"MG25222053","Bekofafa Sud",3143.43920898438,17,1
"MG31301001a","Toamasina",3648.40356445312,27,5
"MG31306010","Brickaville",2060.26684570312,4,1
"MG31306030","Vohitranivona",1181.07019042969,0,0
"MG31306050","Anivorano Est",677.256713867188,0,0
"MG31306070a","Antsapanana",1256.7421875,0,0
"MG31306090","Andovoranto",369.213287353516,0,0
"MG31306110","Ambinaninony",843.658752441406,0,0
"MG31306130","Fetraomby",1052.98413085938,13,1
"MG31306150","Vohipeno Razanaka",597.8466796875,0,0
"MG31306171","Ranomafana Est",1738.85070800781,0,0
"MG31306172","Ampasimbe",890.001892089844,0,0
"MG31306190","Fanasana",394.891632080078,0,0
"MG31306210","Ambalarondra",940.86181640625,0,0
"MG31306230","Maroseranana",2368.51123046875,0,0
"MG31306251","Lohariandava",1537.8232421875,0,0
"MG31306252","Andekaleka",513.556579589844,7,1
"MG31306270","Ambohimanana",1463.76672363281,0,0
"MG31306290","Anjahamana",800.061462402344,9,1
"MG31307010","Vatomandry",520.683898925781,0,0
"MG31307030","Ambodivoananto",540.815063476562,0,0
"MG31307051","Maintinandry",540.744262695312,0,0
"MG31307052","Tanambao Vahatrakaka",156.73161315918,0,0
"MG31307053","Tsarasambo",386.049987792969,0,0
"MG31307070","Sahamatevina",370.053344726562,0,0
"MG31307091","Antanambao Mahatsara",969.303039550781,15,1
"MG31307092","Iamborano",350.561584472656,0,0
"MG31307110","Ambalavolo",486.453338623047,0,0
"MG31307131","Amboditavolo",452.388977050781,0,0
"MG31307132","Niherenana",404.41015625,0,0
"MG31307151","Ilaka Est",1506.03833007812,7,1
"MG31307152","Niarovana Caroline",1489.77307128906,0,0
"MG31307171","Tsivangiana",868.506652832031,0,0
"MG31307172","Ampasimazava",650.777099609375,0,0
"MG31307190","Ampasimadinika",648.612426757812,0,0
"MG31307210","Ifasina I",1245.91064453125,0,0
"MG31307230","Ambalabe",249.456344604492,0,0
"MG31307250","Ifasina II",655.325805664062,0,0
"MG31308011","Mahanoro",2661.82421875,5,1
"MG31308012","Betsizaraina",1331.69396972656,0,0
"MG31308030","Tsaravinany",3646.42895507812,7,1
"MG31308050a","Andranambomaro",881.303894042969,0,0
"MG31308070","Manjakandriana",2607.36987304688,0,0
"MG31308090","Masomeloka",1487.30139160156,0,0
"MG31308110","Ambinanidilana",2591.46850585938,0,0
"MG31308130","Ambodibonara",2265.13208007812,0,0
"MG31308150","Ankazotsifantatra",1055.78344726562,0,0
"MG31308170","Ambinanindrano",2499.15502929688,22,2
"MG31308190","Befotaka",1668.87316894531,9,1
"MG31309010","Marolambo",2834.45385742188,18,1
"MG31309031","Betampona",1708.51184082031,0,0
"MG31309032","Tanambao Rabemanana",555.544250488281,0,0
"MG31309050","Andonabe Sud",653.083679199219,0,0
"MG31309071","Ambalapaiso II",278.207672119141,0,0
"MG31309072","Ambodivoangy",1354.43359375,0,0
"MG31309090","Ambohimilanja",1540.47033691406,0,0
"MG31309110","Ambatofisaka II",955.875183105469,9,1
"MG31309131","Androrangavola",877.713195800781,0,0
"MG31309132","Anosiarivo I",805.220703125,0,0
"MG31309150","Amboasary",737.706726074219,0,0
"MG31309170","Lohavanana",540.693908691406,0,0
"MG31309191","Ambodinonoka",1734.12963867188,0,0
"MG31309192","Sahakevo",1727.537109375,0,0
"MG31310010","Toamasina Suburbaine",17800.9453125,7,1
"MG31310030","Antetezambaro",25717.39453125,0,0
"MG31310050","Fanandrana",1985.99377441406,0,0
"MG31310070","Ambodiriana",1976.0615234375,0,0
"MG31310091","Ampasimadinika Manambolo",1174.34655761719,0,0
"MG31310092","Amboditandroroho",2059.73217773438,0,0
"MG31310110","Mahavelona (Foulpointe)",3590.96875,0,0
"MG31310130","Sahambala",1982.60144042969,11,1
"MG31310150","Ambodilazana",1215.51171875,0,0
"MG31310170","Ampasimbe Onibe",2645.58740234375,10,1
"MG31310191","Mangabe",1458.68115234375,0,0
"MG31310192","Amporoforo",1266.70520019531,0,0
"MG31310193","Antenina",1888.95776367188,0,0
"MG31310211","Andondabe",2832.01220703125,8,1
"MG31310212","Ampisokina",1066.45190429688,0,0
"MG31310230","Andranobolaha",927.272399902344,10,1
"MG31310250","Fito",959.748168945312,0,0
"MG31311010","Antanambao Manampontsy",1384.82690429688,13,1
"MG31311030a","Manaratsandry",818.639892578125,0,0
"MG31311050","Saivaza",595.837097167969,0,0
"MG31311070","Antanandehibe",762.9033203125,0,0
"MG31311090","Manakana",523.364807128906,0,0
"MG32302019","Sainte Marie",5460.1689453125,14,1
"MG32303010","Maroantsetra",3036.02026367188,2,1
"MG32303031a","Sahasindro",898.880554199219,0,0
"MG32303032","Manambolo",2459.06665039062,0,0
"MG32303051","Andranofotsy",849.534545898438,0,0
"MG32303052","Antakotako",1665.99829101562,5,1
"MG32303070","Ankofa",1386.20446777344,0,0
"MG32303090","Ambinanitelo",6173.5478515625,0,0
"MG32303111","Anjahana",1656.31701660156,0,0
"MG32303112","Ambanizana",1942.3515625,0,0
"MG32303113","Mahalevona",2072.70532226562,5,1
"MG32303131","Voloina",1247.59875488281,0,0
"MG32303132","Ankofabe",1121.47705078125,0,0
"MG32303133","Antsirabe Sahatany",755.431823730469,0,0
"MG32303151","Rantabe",643.167175292969,9,1
"MG32303152","Morafeno",541.082397460938,0,0
"MG32303153","Androndrono",3847.87890625,0,0
"MG32303154","Ambodimanga Rantabe",478.231018066406,0,0
"MG32303155","Anandrivola",1245.349609375,0,0
"MG32304011a","Analampotsy",3639.94140625,10,1
"MG32304012","Ambodivoanio",1759.04760742188,7,1
"MG32304013","Imorona",949.969482421875,0,0
"MG32304031","Antanambaobe",1403.20239257812,0,0
"MG32304032","Antanananivo",994.766906738281,0,0
"MG32304050","Manambolosy",4040.060546875,0,0
"MG32304070","Ambodiampana",1511.96020507812,7,1
"MG32304091","Sandrakatsy",1594.59887695312,6,1
"MG32304092","Tanibe",4195.1220703125,0,0
"MG32304093","Ambatoharanana",2456.16162109375,0,0
"MG32318012","Fotsialanana",1147.50537109375,0,0
"MG32318030","Antanifotsy",777.239929199219,0,0
"MG32318050","Ambodiampana",322.113525390625,0,0
"MG41405052","Andranofasika",1641.75903320312,0,0
"MG41405070","Madirovalo",10769.8466796875,0,0
"MG41405090","Anjiajia",4278.58251953125,11,1
"MG42409091a","Ambatomilahatrano",3100.71704101562,0,0
"MG42409092","Amparihy",2749.33618164062,0,0
"MG42409111","Leanja",7732.39990234375,6,1
"MG42409150","Marovato",2829.84326171875,0,0
"MG42409171","Ambodimahabibo",1610.31665039062,0,0
"MG42409172","Ambodivongo",1672.90869140625,0,0
"MG44402011","Besalampy",2251.92895507812,9,1
"MG44402012","Ampako",867.799133300781,20,1
"MG44402030","Marovoay Sud",2897.02319335938,0,0
"MG51503091","Mandronarivo",202.785202026367,0,0
"MG51503092","Tanamary",343.870788574219,0,0
"MG51503093","Sakena",161.329391479492,0,0
"MG51504130","Antanimieva",1682.71923828125,0,0
"MG51504150","Basibasy",3148.29833984375,18,1
"MG51505011","Ankazoabo Sud",5075.48828125,7,1
"MG32304110","Antanambe",2681.228515625,13,1
"MG32304130","Saromaona",3851.921875,0,0
"MG32304151a","Mahanoro",3644.65063476562,0,0
"MG32304152","Andasibe I",1146.22668457031,13,1
"MG32305010","Fenerive Est",1676.26721191406,7,1
"MG32305030","Ambodimanga II",2438.646484375,0,0
"MG32305050","Mahambo",6356.603515625,8,1
"MG32305070","Ampasina Maningory",3389.86987304688,14,1
"MG32305090","Ambatoharanana",1294.43981933594,0,0
"MG32305110","Vohilengo",1706.78979492188,17,1
"MG32305130","Saranambana",5513.82958984375,0,0
"MG32305150","Ampasimbe Manantsatrana",1900.90100097656,0,0
"MG32305170","Miorimivalana",5423.037109375,0,0
"MG32305190","Vohipeno",5978.2041015625,22,1
"MG32305210","Antsiatsiaka",7705.521484375,13,1
"MG32305238","Mahanoro",325.818298339844,0,0
"MG32315010","Vavatenina",1603.00061035156,4,1
"MG32315030","Maromitety",1245.85986328125,0,0
"MG32315050","Ambohibe",2809.96459960938,7,1
"MG32315070","Ampasimazava",443.807891845703,0,0
"MG32315091","Anjahambe",1048.07385253906,0,0
"MG32315092","Ambatoharanana",826.6826171875,0,0
"MG32315110","Andasibe",4959.30517578125,9,1
"MG32315130","Miarinarivo",3715.6728515625,0,0
"MG32315150","Sahatavy",1594.34741210938,0,0
"MG32315170","Ambodimangavalo",2064.38208007812,0,0
"MG32318011","Soanierana Ivongo",2370.59448242188,9,1
"MG32318070","Andapafito",6249.4814453125,0,0
"MG32318090","Ambahoabe",3367.03295898438,9,1
"MG32318110","Manompana",1343.33483886719,14,1
"MG32318130","Antenina",5402.72607421875,0,0
"MG33312011","Amparafaravola",4966.4013671875,3,1
"MG33312012","Bedidy",799.584106445312,0,0
"MG33312013","Ambohimandroso",1099.17260742188,8,1
"MG33312014","Sahamamy",2870.16186523438,0,0
"MG33312031","Ambatomainty",1049.24926757812,0,0
"MG33312032","Ampasikely",636.114074707031,0,0
"MG33312033","Andrebakely Sud",915.7802734375,0,0
"MG33312051","Ambohitrarivo",2370.24951171875,0,0
"MG33312052","Anororo",1780.90148925781,8,1
"MG33312071","Morarano Chrome",5667.2392578125,4,1
"MG33312072","Ranomainty",387.898803710938,8,1
"MG33312090","Ambohijanahary",3133.8291015625,0,0
"MG33312111","Tanambe",1799.93835449219,0,0
"MG33312112","Beanana",1670.14221191406,0,0
"MG33312113","Vohitsara",950.82861328125,0,0
"MG33312131","Amboavory",3380.71606445312,7,1
"MG33312132","Andilana Nord",1511.84631347656,0,0
"MG33312133","Ambodimanga",794.901733398438,7,1
"MG33312151","Vohimena",2620.19287109375,0,0
"MG33312152","Andrebakely Nord",5040.2412109375,11,1
"MG33313010","Ambatondrazaka",883.14794921875,8,1
"MG33313031","Feramanga Nord",3572.12915039062,8,2
"MG33313032","Ambatondrazaka Suburbaine",854.06689453125,0,0
"MG33313033","Ambandrika",417.588165283203,0,0
"MG33313050","Ampitatsimo",246.669082641602,0,0
"MG33313070","Ambohitsilaozana",7984.29541015625,13,1
"MG33313090","Ilafy",608.581298828125,0,0
"MG33313111","Manakambahiny Andrefana",563.788024902344,6,1
"MG33313112","Antsangasanga",105.214096069336,0,0
"MG33313130a","Ambohidava",3328.43334960938,0,0
"MG33313151","Andilanatoby",864.278198242188,5,1
"MG33313152","Bejofo",361.208770751953,0,0
"MG33313170","Didy",9950.1865234375,13,1
"MG33313191","Imerimandroso",2927.17456054688,0,0
"MG33313192","Amparihintsokatra",4084.47509765625,0,0
"MG33313193","Antanandava",2939.38525390625,14,1
"MG33313194","Andromba",2012.6259765625,0,0
"MG33313210","Manakambahiny Antsinanana",5751.119140625,0,0
"MG33313231","Soalazaina",331.273254394531,0,0
"MG33313232","Tanambao Besakay",695.174011230469,14,1
"MG33314010","Moramanga",230.470077514648,8,1
"MG33314030","Ambohibary",5589.4345703125,7,1
"MG33314050","Ampasimpotsy Gara",223.261917114258,0,0
"MG33314070","Andasibe",486.094055175781,0,0
"MG33314091","Anosibe Ifody",713.526062011719,0,0
"MG33314092","Vodiriana",508.955017089844,0,0
"MG33314110","Morarano Gara",3642.57885742188,11,1
"MG33314130","Belavabary",507.943969726562,0,0
"MG33314150","Sabotsy Anjiro",1418.16955566406,5,1
"MG33314170","Ambohidronono",2651.65209960938,0,0
"MG33314190","Beforona",2883.54907226562,7,1
"MG33314210","Ambatovola",1268.51232910156,0,0
"MG33314230","Lakato",2573.4599609375,0,0
"MG33314250a","Amboasary",2516.984375,0,0
"MG33314270","Fierenana",3416.53466796875,0,0
"MG33314291","Mandialaza",1155.97497558594,0,0
"MG33314292","Antaniditra",1001.10144042969,0,0
"MG33314293","Ampasipotsy Mandialaza",506.774841308594,0,0
"MG33314310","Antanandava",793.880981445312,0,0
"MG33314330","Mangarivotra",674.228759765625,9,1
"MG33314350","Andaingo",3179.95874023438,0,0
"MG33316011","Andilamena",5749.05126953125,8,1
"MG33316012","Bemaitso",2791.83325195312,0,0
"MG33316031","Antanimenabaka",2591.50219726562,0,0
"MG33316032","Tanananifololahy",364.649932861328,0,0
"MG33316051","Maroadabo",576.548767089844,0,0
"MG33316052","Marovato",1641.5810546875,11,1
"MG33316071","Miarinarivo",1157.12866210938,0,0
"MG33316072","Maitsokely",1425.04895019531,0,0
"MG33317011","Anosibe An'ala",1589.22265625,9,1
"MG33317012","Ampasimaneva",439.109558105469,0,0
"MG33317031","Ampandroantraka",843.006469726562,0,0
"MG33317032","Tratramarina",634.337707519531,0,0
"MG33317051","Antandrokomby",1436.97900390625,14,1
"MG33317052","Ambalaomby",1065.08776855469,0,0
"MG33317053","Niarovana Marosampanana",408.814483642578,0,0
"MG33317054","Tsaravinany",670.074096679688,0,0
"MG33317071","Longozabe",1567.8359375,0,0
"MG33317072","Ambatoharanana",677.985900878906,0,0
"MG41401001","Mahajanga",2755.33666992188,16,3
"MG41401002","Mahabibo",11217.025390625,26,4
"MG41403010a","Antsakoamileka",2252.94580078125,0,0
"MG41403030","Ambohipaky",3333.43383789062,0,0
"MG41403050","Andranomavo",7617.224609375,0,0
"MG41405019a","Ambesisika",2555.12280273438,0,0
"MG41405051","Ankijabe",6664.86474609375,8,1
"MG41405111","Tsaramandroso",3688.3076171875,20,2
"MG41405112","Ambondromamy",3983.93823242188,0,0
"MG41405130","Ankirihitra",2656.939453125,9,1
"MG41405150","Andranomamy",5266.451171875,0,0
"MG41405170","Manerinerina",5151.40380859375,0,0
"MG41405190","Sitampiky",7831.85986328125,10,1
"MG41406010","Marovoay Ville",2306.39721679688,16,2
"MG41406031","Marovoay Banlieue",7366.38623046875,0,0
"MG41406032","Antanambao Andranolava",920.70556640625,7,1
"MG41406033","Anosinalainolona",1770.20434570312,0,0
"MG41406051","Ambolomoty",475.193359375,0,0
"MG41406052","Marovoay",2994.82958984375,0,0
"MG41406070","Tsararano",566.97509765625,0,0
"MG41406090","Ankazomborona",9615.947265625,8,1
"MG41406111a","Ankaboka",785.793884277344,0,0
"MG41406112","Antanimasaka",1762.26794433594,0,0
"MG41406130","Bemaharivo",3044.46020507812,12,1
"MG41406158","Ankaraobato",1912.900390625,0,0
"MG41407011","Mitsinjo",1005.66864013672,0,0
"MG41407012","Antseza",741.497192382812,14,1
"MG41407030","Antongomena Bevary",1272.70861816406,0,0
"MG41407050","Matsakabanja",2512.79321289062,6,1
"MG41407070","Katsepy",582.909729003906,0,0
"MG41407091","Bekipay",943.136291503906,0,0
"MG41407092","Ambarimaninga",1291.09680175781,0,0
"MG41415011","Belobaka",16039.88671875,0,0
"MG41415012","Boanamary",23529.267578125,0,0
"MG41415031","Ambalakida",2370.9560546875,0,0
"MG41415032","Betsako",950.607727050781,0,0
"MG41415050","Mariarano",3538.72705078125,0,0
"MG41415071","Bekobay",1261.76794433594,0,0
"MG41415072","Andranoboka",2017.3818359375,0,0
"MG41415091","Mahajamba Usine",1891.3486328125,9,1
"MG41415092","Ambalabe Befanjava",996.593017578125,6,1
"MG42409010","Port Berge",3042.76904296875,0,0
"MG42409031","Ambanjabe",1437.64379882812,0,0
"MG42409032","Tsaratanana I",2732.5849609375,10,1
"MG42409050","Tsarahasina",4636.6298828125,7,1
"MG42409070","Tsiningia",4928.861328125,7,1
"MG42409112","Ambodisakoana",2320.01586914062,0,0
