"ADM3_PCODE","ADM3_EN","ADM2_EN","ADM1_EN","est","lower","upper","pop_u5","n_stunted","cum_share"
"MG52516170a","Andragnanivo","Antanimora Sud","Androy",0.446165991692211,0.346690970352417,0.544522000767559,3715.50756835938,1657.73311887698,0.467534857803624
"MG32318130","Antenina","Soanierana Ivongo","Analanjirofo",0.305809237767887,0.192723684969651,0.435684647622251,5402.72607421875,1652.20354262552,0.468508539265863
"MG25213050","Anosivelo","Farafangana","Atsimo Atsinanana",0.485171192186529,0.400148831375432,0.572064279795711,3400.8671875,1650.00278782742,0.469480923772797
"MG51507050","Amborompotsy","Ampanihy Ouest","Atsimo Andrefana",0.314525632515823,0.237116958351,0.397723499322702,5239.27197265625,1647.88533112213,0.470452060413903
"MG23211052","Ambinanitromby","Ikongo","Fitovinany",0.453552862916041,0.347184002114775,0.569856989057978,3620.98681640625,1642.30893716229,0.471419910758082
"MG21220011","Andrainjato Centre","Lalangina","Haute Matsiatra",0.485797395811915,0.400596741438912,0.569420882762209,3370.68359375,1637.4693119497,0.472384909000065
"MG52513091","Tranoroa","Beloha","Androy",0.338230290901946,0.2667577188734,0.430455793394475,4835.98583984375,1635.67689740805,0.473348850931026
"MG72716310","Antsirabe Nord","Vohemar","Sava",0.340766423786869,0.250565594328319,0.454336040602431,4789.42529296875,1632.07532907934,0.474310670375122
"MG54508159","Befasy","Morondava","Menabe",0.379282719561722,0.284836809086227,0.476657907229931,4296.80517578125,1629.7039524972,0.475271092312581
"MG51520330a","Soahazo","Toliary-II","Atsimo Andrefana",0.308916305009821,0.216266376333939,0.409238311339987,5266.1328125,1626.79429012848,0.476229799519235
"MG24216231","Ranohira","Ihosy","Ihorombe",0.352927797195916,0.272773167786561,0.444344594927285,4588.62646484375,1619.45383039219,0.477184180824518
"MG22204070","Fiadanana","Fandriana","Amoron I Mania",0.571164993429475,0.48553230949106,0.664752435567717,2832.20703125,1617.65751039482,0.478137503517206
"MG33313031","Feramanga Nord","Ambatondrazaka","Alaotra Mangoro",0.450612365578354,0.347438359510534,0.55249139238174,3572.12915039062,1609.64556660892,0.479086104587563
